# Synthetic GEMM shape fixture -- independently generated, contains no customer data.
# Generated by scripts/sanitizers/gen_gemm_fixture.py --seed 20260805 --rows 48 (deterministic).
rank,count,first_call_idx,transA,transB,M,N,K,batch_count,a_type,b_type,c_type,d_type,compute_type,bias_type,alpha,beta,activation_type,epilogue,n_solutions_used,top_solution_idx,top_solution_count
17,333,3870,T,N,512,1280,256,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,156047,333
18,329,3882,N,T,256,1024,4096,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,146801,329
19,312,3618,T,T,1280,64,4096,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,154223,312
20,293,1732,N,N,4096,4096,64,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,180662,293
21,270,2890,T,T,4096,64,512,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,167801,270
22,250,1136,T,N,1024,1280,1280,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,188501,250
23,247,3840,T,T,256,1024,64,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,109157,247
24,245,77,T,N,512,512,256,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,155595,245
25,241,3338,N,N,2048,1024,1280,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,120360,241
26,237,2341,T,N,2048,2048,256,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,176676,237
27,219,244,T,N,64,1024,256,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,126612,219
28,209,145,T,T,512,2048,1024,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,149260,209
29,203,2681,T,N,512,64,1280,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,187283,203
30,193,1555,N,T,64,256,256,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,106058,193
31,179,3099,T,T,2048,4096,2048,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,125152,179
32,179,2149,N,T,1280,1280,4096,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,176760,179
33,176,2687,T,T,128,256,256,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,157374,176
34,150,2808,T,T,1280,256,1024,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,171251,150
35,148,488,T,T,512,1024,1024,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,114326,148
36,143,3961,N,T,512,512,2048,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,135282,143
37,140,1929,N,T,4096,128,2048,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,110462,140
38,139,1978,N,T,1024,1280,2048,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,117811,139
39,133,514,N,T,1024,256,64,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,145397,133
40,131,389,T,N,4096,1280,4096,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,178204,131
41,125,1502,T,T,64,4096,1024,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,144606,125
42,113,3089,T,T,1024,256,4096,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,190878,113
43,96,1156,N,T,256,4096,4096,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,120590,96
44,86,1118,T,N,512,1280,2048,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,133559,86
45,83,2444,T,T,4096,4096,64,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,184531,83
46,79,3299,T,N,512,1280,1280,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,179018,79
47,70,3269,N,N,4096,512,128,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,168582,70
48,66,675,T,T,64,4096,256,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,104484,66
