# Synthetic generic GEMM shape fixture (scrubbed; no customer attribution)
rank,count,first_call_idx,transA,transB,M,N,K,batch_count,a_type,b_type,c_type,d_type,compute_type,bias_type,alpha,beta,activation_type,epilogue,n_solutions_used,top_solution_idx,top_solution_count
24,50,563,N,N,4096,4096,1,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375374,50
25,42,1421,N,T,64,64,64,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374824,42
26,40,2074,N,N,4096,1,4096,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374888,40
27,35,554,N,N,32,32,1,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375437,35
28,34,1700,N,T,512,512,512,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374817,34
29,30,3,T,N,128,1024,128,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,377024,30
30,30,70,T,N,128,1024,4096,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,377039,30
31,30,137,N,T,4096,128,1024,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374814,30
32,30,138,N,N,4096,1024,128,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375490,30
33,30,189,N,T,128,128,1024,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374839,30
34,30,293,N,N,1920,1920,1,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375403,30
35,30,295,T,N,128,128,128,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,377023,30
36,30,555,T,N,128,128,4096,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,377038,30
37,30,556,N,T,4096,4096,128,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374610,30
38,30,569,T,N,4096,4096,4096,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,376894,30
39,30,608,N,N,512,512,1,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375437,30
40,28,2065,N,N,32,1,32,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375437,28
41,24,1804,N,N,1920,1,1920,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375584,24
42,24,2066,N,T,128,4096,128,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374797,24
43,24,2067,N,T,4096,128,4096,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374814,24
44,24,2119,N,N,512,1,512,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375583,24
45,22,1647,N,T,483,483,483,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374753,22
46,22,1654,N,T,32,32,32,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374819,22
47,20,5,T,N,128,1024,100,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,376957,20
48,20,69,T,N,32,131072,483,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,376950,20
49,20,131,N,T,483,32,131072,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374814,20
50,20,132,N,N,483,131072,32,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375410,20
51,20,192,N,T,100,128,1024,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374839,20
52,20,303,T,N,128,128,100,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,376957,20
53,20,304,N,T,100,100,128,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374829,20
54,20,552,T,N,32,32,483,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,377023,20
55,20,553,N,T,483,483,32,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374821,20
56,20,598,T,N,512,512,4096,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,377022,20
57,20,599,N,T,4096,4096,512,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374690,20
58,18,204,N,T,1024,128,1024,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374840,18
59,18,1392,N,T,1920,1920,1920,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374777,18
60,16,1814,N,T,128,100,128,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374829,16
61,16,1815,N,T,100,128,100,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374824,16
62,16,2063,N,T,32,483,32,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374819,16
63,16,2064,N,T,483,32,483,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374829,16
64,16,2091,N,T,256,4096,256,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374796,16
65,16,2092,N,T,4096,256,4096,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374813,16
66,16,2093,N,T,128,256,128,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374829,16
67,16,2094,N,T,256,128,256,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374834,16
68,16,2109,N,T,512,4096,512,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374783,16
69,16,2110,N,T,4096,512,4096,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374783,16
70,16,2115,N,T,256,512,256,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374835,16
71,16,2116,N,T,512,256,512,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374835,16
72,15,550,N,N,483,483,1,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375437,15
73,12,2061,N,N,483,1,483,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375583,12
74,10,33,T,N,128,1024,1024,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,377034,10
75,10,68,T,N,64,131072,483,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,376942,10
76,10,71,T,N,483,1024,128,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,376949,10
77,10,73,T,N,32,1024,128,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,376794,10
78,10,75,T,N,483,32,128,1024,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,376443,10
79,10,76,T,N,4096,1024,15456,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,376985,10
80,10,78,T,N,256,1024,4096,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,377022,10
81,10,79,T,N,128,1024,256,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,377029,10
82,10,80,T,N,256,1024,128,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,377009,10
83,10,81,T,N,4096,1024,256,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,376930,10
84,10,82,T,N,512,1024,10112,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,377018,10
85,10,83,T,N,256,1024,512,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,377021,10
86,10,84,T,N,512,1024,256,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,377001,10
87,10,117,N,N,256,512,1024,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375594,10
88,10,118,N,N,256,1024,512,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375581,10
89,10,119,N,T,512,256,1024,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374840,10
90,10,120,N,N,512,1024,256,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375561,10
91,10,121,N,T,10112,512,1024,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374776,10
92,10,122,N,N,10112,1024,512,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375478,10
93,10,123,N,T,256,4096,1024,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374813,10
94,10,124,N,N,256,1024,4096,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374896,10
95,10,125,N,T,128,256,1024,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374839,10
96,10,126,N,N,128,1024,256,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375589,10
97,10,127,N,T,256,128,1024,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374839,10
98,10,128,N,N,256,1024,128,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375569,10
99,10,129,N,T,4096,256,1024,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374813,10
100,10,130,N,N,4096,1024,256,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375490,10
101,10,133,N,T,15456,4096,1024,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374690,10
102,10,134,N,N,15456,1024,4096,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375454,10
103,10,135,N,T,483,128,32,1024,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374664,10
104,10,136,N,N,128,32,483,1024,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375493,10
105,10,139,N,T,128,32,1024,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374839,10
106,10,140,N,N,128,1024,32,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375437,10
107,10,143,N,T,128,483,1024,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374839,10
108,10,144,N,N,128,1024,483,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375584,10
109,10,415,T,N,128,128,1024,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,377033,10
110,10,416,N,T,1024,1024,128,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374744,10
111,10,547,N,N,2048,2048,1,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375410,10
112,10,557,T,N,483,483,128,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,377009,10
113,10,558,N,T,128,128,483,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374829,10
114,10,575,T,N,4096,4096,3168,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,376894,10
115,10,576,N,T,3168,3168,4096,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374776,10
116,10,580,T,N,256,256,4096,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,377038,10
117,10,581,N,T,4096,4096,256,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374610,10
118,10,582,T,N,128,128,256,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,377028,10
119,10,583,N,T,256,256,128,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374829,10
120,10,584,T,N,256,256,128,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,377023,10
121,10,585,N,T,128,128,256,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374834,10
122,10,586,T,N,4096,4096,256,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,376814,10
123,10,587,N,T,256,256,4096,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374797,10
124,10,602,T,N,512,512,1920,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,377021,10
125,10,603,N,T,1920,1920,512,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374719,10
126,10,604,T,N,256,256,512,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,377033,10
127,10,605,N,T,512,512,256,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374805,10
128,10,606,T,N,512,512,256,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,377009,10
129,10,607,N,T,256,256,512,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374839,10
130,10,689,N,N,64,64,1,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375437,10
131,10,1477,N,T,2048,2048,2048,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374781,10
132,8,1405,N,T,100,100,100,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374824,8
133,8,1796,N,T,128,1093,128,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374805,8
134,8,1797,N,T,1093,128,1093,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374805,8
135,8,1926,N,T,128,1024,128,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374830,8
136,8,2056,N,T,2048,483,2048,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374813,8
137,8,2057,N,T,483,2048,483,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374744,8
138,8,2058,N,N,2048,1,2048,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375445,8
139,8,2068,N,T,483,128,483,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374824,8
140,8,2069,N,T,128,483,128,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374829,8
141,8,2086,N,T,4096,3168,4096,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374793,8
142,8,2087,N,T,3168,4096,3168,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374778,8
143,8,2113,N,T,512,1920,512,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374796,8
144,8,2114,N,T,1920,512,1920,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374813,8
145,8,2200,N,N,64,1,64,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375583,8
146,6,1387,N,T,1093,1093,1093,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374779,6
147,5,0,T,N,128,1024,1093,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,377024,5
148,5,1,T,N,1093,1024,128,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,376925,5
149,5,2,T,N,1920,1024,1093,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,376987,5
150,5,23,T,N,128,1024,2048,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,377034,5
151,5,65,N,N,1,494592,256,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,1.0,none,,1,375453,5
152,5,66,T,N,2048,1024,483,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,bias,1,376932,5
153,5,67,T,N,483,1024,2048,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,bias,1,377018,5
154,5,102,N,N,1,524288,2,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375453,5
155,5,103,T,N,128,1024,512,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,377029,5
156,5,104,T,N,64,1024,128,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,377023,5
157,5,105,T,N,32,1024,64,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,376794,5
158,5,106,N,N,1,1024,32,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375453,5
159,5,107,N,N,32,1,1024,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375583,5
160,5,108,N,N,32,1024,1,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375437,5
161,5,109,N,T,64,32,1024,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374839,5
162,5,110,N,N,64,1024,32,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375437,5
163,5,111,N,T,128,64,1024,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374839,5
164,5,112,N,N,128,1024,64,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375517,5
165,5,113,N,T,512,128,1024,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374839,5
166,5,114,N,N,512,1024,128,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375561,5
167,5,115,N,N,2,1,524288,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375437,5
168,5,116,N,N,2,524288,1,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375453,5
169,5,181,N,N,2048,1024,483,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375492,5
170,5,182,N,T,2048,483,1024,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374813,5
171,5,183,N,N,483,1024,2048,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375578,5
172,5,184,N,T,483,2048,1024,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374813,5
173,5,185,N,N,256,494592,1,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375374,5
174,5,186,N,N,256,1,494592,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375572,5
175,5,249,N,T,2048,128,1024,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374817,5
176,5,280,N,T,1093,1920,1024,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374788,5
177,5,281,N,N,1093,1024,1920,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375543,5
178,5,282,N,T,128,1093,1024,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374817,5
179,5,283,N,N,128,1024,1093,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375584,5
180,5,284,N,T,1093,128,1024,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374817,5
181,5,285,T,N,128,128,1093,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,377033,5
182,5,286,N,T,1093,1093,128,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374721,5
183,5,287,T,N,1093,1093,128,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,376925,5
184,5,288,N,T,128,128,1093,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374834,5
185,5,291,T,N,1920,1920,1093,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,376923,5
186,5,292,N,T,1093,1093,1920,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374779,5
187,5,375,T,N,128,128,2048,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,377038,5
188,5,376,N,T,2048,2048,128,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374646,5
189,5,545,T,N,2048,2048,483,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,376930,5
190,5,546,N,T,483,483,2048,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374818,5
191,5,548,T,N,483,483,2048,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,377022,5
192,5,549,N,T,2048,2048,483,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374726,5
193,5,680,N,N,2,2,1,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375437,5
194,5,681,T,N,128,128,512,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,377033,5
195,5,682,N,T,512,512,128,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374805,5
196,5,683,T,N,64,64,128,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,377023,5
197,5,684,N,T,128,128,64,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374824,5
198,4,1517,N,T,1024,1024,1024,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374813,4
199,4,1653,N,N,1,1,1,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375453,4
200,4,1678,N,T,3168,3168,3168,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374776,4
201,4,1802,N,T,1920,1093,1920,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374788,4
202,4,1803,N,T,1093,1920,1093,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374788,4
203,4,1886,N,T,128,2048,128,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374805,4
